Index,AIN1,AIN2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
58,0.822955,0.588523,0,0,0,0,0,0
59,0.842491,0.564103,0,0,0,0,0,0
60,0.852259,0.610501,0,0,0,0,0,0
61,0.842491,0.595849,0,0,0,0,0,0
62,0.876679,0.605617,0,0,0,0,0,0
63,0.866911,0.608059,0,0,0,0,0,0
64,0.854701,0.686203,0,0,0,0,0,0
65,0.881563,0.644689,0,0,0,0,0,0
66,0.835165,0.625153,0,0,0,0,0,0
67,0.862027,0.620269,0,0,0,0,0,0
68,0.862027,0.617827,0,0,0,0,0,0
69,0.832723,0.605617,0,0,0,0,0,0
70,0.852259,0.615385,0,0,0,0,0,0
71,0.827839,0.615385,0,0,0,0,0,0
72,0.832723,0.639805,0,0,0,0,0,0
73,0.854701,0.630037,0,0,0,0,0,0
74,0.835165,0.612943,0,0,0,0,0,0
75,0.859585,0.649573,0,0,0,0,0,0
76,0.862027,0.639805,0,0,0,0,0,0
77,0.847375,0.666667,0,0,0,0,0,0
78,0.881563,0.644689,0,0,0,0,0,0
79,0.852259,0.637363,0,0,0,0,0,0
80,0.854701,0.649573,0,0,0,0,0,0
81,0.866911,0.634921,0,0,0,0,0,0
82,0.837607,0.649573,0,0,0,0,0,0
83,0.822955,0.713065,0,0,0,0,0,0
84,0.842491,0.647131,0,0,0,0,0,0
85,0.835165,0.625153,0,0,0,0,0,0
86,0.862027,0.647131,0,0,0,0,0,0
87,0.840049,0.647131,0,0,0,0,0,0
88,0.859585,0.705739,0,0,0,0,0,0
89,0.869353,0.717949,0,0,0,0,0,0
90,0.837607,0.654457,0,0,0,0,0,0
91,0.840049,0.654457,0,0,0,0,0,0
92,0.854701,0.659341,0,0,0,0,0,0
93,0.830281,0.644689,0,0,0,0,0,0
94,0.847375,0.634921,0,0,0,0,0,0
95,0.847375,0.644689,0,0,0,0,0,0
96,0.842491,0.654457,0,0,0,0,0,0
97,0.854701,0.669109,0,0,0,0,0,0
98,0.837607,0.617827,0,0,0,0,0,0
99,0.854701,0.659341,0,0,0,0,0,0
100,0.862027,0.681319,0,0,0,0,0,0
101,0.849817,0.647131,0,0,0,0,0,0
102,0.871795,0.661783,0,0,0,0,0,0
103,0.849817,0.676435,0,0,0,0,0,0
104,0.840049,0.678877,0,0,0,0,0,0
105,0.857143,0.659341,0,0,0,0,0,0
106,0.820513,0.676435,0,0,0,0,0,0
107,0.837607,0.669109,0,0,0,0,0,0
108,0.866911,0.671551,0,0,0,0,0,0
109,0.832723,0.673993,0,0,0,0,0,0
110,0.859585,0.666667,0,0,0,0,0,0
111,0.842491,0.681319,0,0,0,0,0,0
112,0.840049,0.695971,0,0,0,0,0,0
113,0.876679,0.659341,0,0,0,0,0,0
114,0.827839,0.698413,0,0,0,0,0,0
115,0.852259,0.708181,0,0,0,0,0,0
116,0.859585,0.698413,0,0,0,0,0,0
117,0.840049,0.691087,0,0,0,0,0,0
118,0.849817,0.742369,0,0,0,0,0,0
119,0.825397,0.693529,0,0,0,0,0,0
120,0.842491,0.698413,0,0,0,0,0,0
121,0.859585,0.708181,0,0,0,0,0,0
122,0.832723,0.708181,0,0,0,0,0,0
123,0.849817,0.671551,0,0,0,0,0,0
124,0.871795,0.698413,0,0,0,0,0,0
125,0.847375,0.722833,0,0,0,0,0,0
126,0.849817,0.703297,0,0,0,0,0,0
127,0.854701,0.681319,0,0,0,0,0,0
128,0.840049,0.710623,0,0,0,0,0,0
129,0.871795,0.705739,0,0,0,0,0,0
130,0.837607,0.678877,0,0,0,0,0,0
131,0.800977,0.715507,0,0,0,0,0,0
132,0.862027,0.705739,0,0,0,0,0,0
133,0.837607,0.722833,0,0,0,0,0,0
134,0.840049,0.722833,0,0,0,0,0,0
135,0.849817,0.774115,0,0,0,0,0,0
136,0.852259,0.737485,0,0,0,0,0,0
137,0.869353,0.747253,0,0,0,0,0,0
138,0.837607,0.722833,0,0,0,0,0,0
139,0.844933,0.744811,0,0,0,0,0,0
140,0.854701,0.759463,0,0,0,0,0,0
141,0.832723,0.764347,0,0,0,0,0,0
142,0.830281,0.735043,0,0,0,0,0,0
143,0.830281,0.747253,0,0,0,0,0,0
144,0.852259,0.808303,0,0,0,0,0,0
145,0.857143,0.800977,0,0,0,0,0,0
146,0.810745,0.793651,0,0,0,0,0,0
147,0.859585,0.757021,0,0,0,0,0,0
148,0.891331,0.747253,0,0,0,0,0,0
149,0.859585,0.769231,0,0,0,0,0,0
150,0.835165,0.788767,0,0,0,0,0,0
151,0.859585,0.757021,0,0,0,0,0,0
152,0.830281,0.761905,0,0,0,0,0,0
153,0.869353,0.747253,0,0,0,0,0,0
154,0.847375,0.752137,0,0,0,0,0,0
155,0.837607,0.781441,0,0,0,0,0,0
156,0.857143,0.774115,0,0,0,0,0,0
157,0.830281,0.732601,0,0,0,0,0,0
158,0.866911,0.769231,0,0,0,0,0,0
159,0.847375,0.796093,0,0,0,0,0,0
160,0.857143,0.776557,0,0,0,0,0,0
161,0.884005,0.786325,0,0,0,0,0,0
162,0.859585,0.844933,0,0,0,0,0,0
163,0.854701,0.783883,0,0,0,0,0,0
164,0.869353,0.805861,0,0,0,0,0,0
165,0.842491,0.774115,0,0,0,0,0,0
166,0.844933,0.786325,0,0,0,0,0,0
167,0.854701,0.786325,0,0,0,0,0,0
168,0.859585,0.786325,0,0,0,0,0,0
169,0.879121,0.854701,0,0,0,0,0,0
170,0.859585,0.761905,0,0,0,0,0,0
171,0.859585,0.803419,0,0,0,0,0,0
172,0.888889,0.822955,0,0,0,0,0,0
173,0.864469,0.798535,0,0,0,0,0,0
174,0.884005,0.805861,0,0,0,0,0,0
175,0.881563,0.798535,0,0,0,0,0,0
176,0.862027,0.800977,0,0,0,0,0,0
177,0.844933,0.786325,0,0,0,0,0,0
178,0.844933,0.800977,0,0,0,0,0,0
179,0.842491,0.810745,0,0,0,0,0,0
180,0.879121,0.808303,0,0,0,0,0,0
181,0.864469,0.781441,0,0,0,0,0,0
182,0.864469,0.871795,0,0,0,0,0,0
183,0.879121,0.830281,0,0,0,0,0,0
184,0.871795,0.903541,0,0,0,0,0,0
185,0.871795,0.835165,0,0,0,0,0,0
186,0.881563,0.822955,0,0,0,0,0,0
187,0.871795,0.800977,0,0,0,0,0,0
188,0.847375,0.791209,0,0,0,0,0,0
189,0.859585,0.788767,0,0,0,0,0,0
190,0.837607,0.818071,0,0,0,0,0,0
191,0.891331,0.835165,0,0,0,0,0,0
192,0.876679,0.830281,0,0,0,0,0,0
193,0.864469,0.827839,0,0,0,0,0,0
194,0.876679,0.827839,0,0,0,0,0,0
